attScalar, iteration, data, tp, tn, fp, fn, accuracy, precision, recall, F-1 measure
1.0,0,train,843,2544,421,2122,0.213153456998,0.666930379747,0.28431703204,0.398675809884
1.0,0,test,230,721,136,627,0.213535589265,0.628415300546,0.268378063011,0.376124284546
1.0,1,train,1770,1892,1073,1195,0.479426644182,0.62258177981,0.596964586847,0.609504132231
1.0,1,test,552,546,311,305,0.503500583431,0.639629200463,0.644107351225,0.641860465116
1.0,2,train,1837,2040,925,1128,0.465767284992,0.66509775525,0.619561551433,0.641522612188
1.0,2,test,534,573,284,323,0.477246207701,0.652811735941,0.623103850642,0.637611940299
1.0,3,train,1842,2341,624,1123,0.415851602024,0.74695863747,0.621247892074,0.678328116369
1.0,3,test,523,653,204,334,0.424154025671,0.71939477304,0.610268378063,0.660353535354
1.0,4,train,1967,2317,648,998,0.440978077572,0.752198852772,0.663406408094,0.705017921147
1.0,4,test,564,635,222,293,0.458576429405,0.717557251908,0.658109684947,0.68654899574
1.0,5,train,1966,2344,621,999,0.436256323777,0.759953614225,0.663069139966,0.708213256484
1.0,5,test,559,653,204,298,0.445157526254,0.732634338139,0.65227537923,0.69012345679
1.0,6,train,1903,2392,573,1062,0.417537942664,0.768578352181,0.641821247892,0.69950376769
1.0,6,test,541,673,184,316,0.422987164527,0.746206896552,0.631271878646,0.68394437421
1.0,7,train,1848,2446,519,1117,0.39915682968,0.780735107731,0.623271500843,0.693173293323
1.0,7,test,526,681,176,331,0.409568261377,0.749287749288,0.613768961494,0.674791533034
1.0,8,train,2007,2364,601,958,0.439797639123,0.769555214724,0.676897133221,0.72025838866
1.0,8,test,567,650,207,290,0.451575262544,0.732558139535,0.661610268378,0.695278969957
1.0,9,train,1781,2499,466,1184,0.37892074199,0.792612372052,0.600674536256,0.683422870299
1.0,9,test,487,703,154,370,0.373978996499,0.759750390016,0.568261376896,0.650200267023
1.0,10,train,1897,2450,515,1068,0.406745362563,0.786484245439,0.639797639123,0.705597917054
1.0,10,test,521,684,173,336,0.404900816803,0.750720461095,0.607934655776,0.671824629271
1.0,11,train,1986,2470,495,979,0.418381112985,0.800483675937,0.66981450253,0.729342636798
1.0,11,test,538,666,191,319,0.425320886814,0.737997256516,0.627771295216,0.678436317781
1.0,12,train,1850,2529,436,1115,0.385497470489,0.80927384077,0.623946037099,0.704627689964
1.0,12,test,498,694,163,359,0.385647607935,0.753403933434,0.581096849475,0.656126482213
1.0,13,train,1847,2507,458,1118,0.388701517707,0.801301518438,0.622934232715,0.700948766603
1.0,13,test,492,684,173,365,0.387981330222,0.73984962406,0.574095682614,0.646517739816
1.0,14,train,1918,2512,453,1047,0.399831365936,0.808941374947,0.646880269815,0.718890554723
1.0,14,test,515,678,179,342,0.404900816803,0.742074927954,0.600933488915,0.664087685364
1.0,15,train,2012,2486,479,953,0.420067453626,0.807707747892,0.678583473862,0.737536656891
