iteration, data, tp, tn, fp, fn, accuracy, precision, recall, F-1 measure
0,train,2105,851,2114,860,0.498482293423,0.498933396539,0.709949409781,0.586024498886
0,test,620,246,611,237,0.505250875146,0.503655564582,0.723453908985,0.593869731801
1,train,1822,1171,1794,1143,0.504721753794,0.503871681416,0.614502529511,0.553715240845
1,test,530,331,526,327,0.502333722287,0.501893939394,0.618436406068,0.554103502352
2,train,1580,1303,1662,1385,0.486172006745,0.487353485503,0.532883642496,0.509102626067
2,test,484,386,471,373,0.507584597433,0.506806282723,0.564760793466,0.534216335541
3,train,1698,1253,1712,1267,0.497639123103,0.497947214076,0.572681281619,0.532705882353
3,test,509,382,475,348,0.51983663944,0.517276422764,0.593932322054,0.552960347637
4,train,1724,1349,1616,1241,0.518212478921,0.516167664671,0.581450252951,0.546867565424
4,test,490,367,490,367,0.5,0.5,0.571761960327,0.53347849755
5,train,1805,1231,1734,1160,0.51197301855,0.510031082227,0.608768971332,0.555043050431
5,test,513,349,508,344,0.502917152859,0.502448579824,0.598599766628,0.546325878594
6,train,1830,1216,1749,1135,0.513659359191,0.511316010059,0.617200674536,0.559290953545
6,test,531,336,521,326,0.505834305718,0.504752851711,0.619603267211,0.556312205343
7,train,1843,1229,1736,1122,0.518043844857,0.514948309584,0.621585160202,0.56326405868
7,test,523,362,495,334,0.516336056009,0.513752455796,0.610268378063,0.557866666667
8,train,1802,1267,1698,1163,0.517537942664,0.514857142857,0.607757166948,0.557463263728
8,test,534,350,507,323,0.515752625438,0.512968299712,0.623103850642,0.562697576396
9,train,1758,1393,1572,1207,0.531365935919,0.527927927928,0.592917369309,0.558538522637
9,test,506,370,487,351,0.511085180863,0.509566968781,0.590431738623,0.547027027027
10,train,1724,1399,1566,1241,0.526644182125,0.524012158055,0.581450252951,0.551239008793
10,test,504,393,464,353,0.52333722287,0.520661157025,0.588098016336,0.552328767123
11,train,1758,1369,1596,1207,0.527318718381,0.524150268336,0.592917369309,0.556417154613
11,test,516,383,474,341,0.524504084014,0.521212121212,0.602100350058,0.558743909042
12,train,1779,1420,1545,1186,0.539460370995,0.535198555957,0.6,0.565749721736
12,test,495,379,478,362,0.50991831972,0.508735868448,0.577596266044,0.540983606557
13,train,1649,1590,1375,1316,0.546205733558,0.545304232804,0.556155143339,0.550676239773
13,test,499,464,393,358,0.561843640607,0.559417040359,0.582263710618,0.570611778159
14,train,1600,1687,1278,1365,0.554300168634,0.555941626129,0.539629005059,0.547663871299
14,test,484,449,408,373,0.544340723454,0.542600896861,0.564760793466,0.553459119497
15,train,1516,1680,1285,1449,0.538954468803,0.541235273117,0.511298482293,0.525841137704
15,test,457,494,363,400,0.554842473746,0.557317073171,0.53325554259,0.545020870602
16,train,1579,1717,1248,1386,0.555817875211,0.55854262469,0.532546374368,0.54523480663
16,test,447,490,367,410,0.546674445741,0.54914004914,0.521586931155,0.535008976661
17,train,1568,1711,1254,1397,0.552951096121,0.555634301914,0.528836424958,0.541904268187
17,test,458,496,361,399,0.556592765461,0.559218559219,0.534422403734,0.546539379475
18,train,1622,1722,1243,1343,0.563912310287,0.566143106457,0.547048903879,0.556432246998
18,test,479,492,365,378,0.566511085181,0.567535545024,0.558926487748,0.563198118754
19,train,1610,1795,1170,1355,0.574198988196,0.579136690647,0.543001686341,0.560487380331
19,test,471,506,351,386,0.570011668611,0.57299270073,0.5495915986,0.561048243002
20,train,1656,1729,1236,1309,0.570826306914,0.572614107884,0.558516020236,0.565477206761
20,test,502,489,368,355,0.578179696616,0.577011494253,0.585764294049,0.581354950782
21,train,1689,1674,1291,1276,0.567116357504,0.56677852349,0.569645868465,0.568208578638
21,test,500,467,390,357,0.564177362894,0.561797752809,0.583430571762,0.572409845449
22,train,1654,1746,1219,1311,0.573355817875,0.575704838148,0.55784148398,0.566632408359
22,test,481,453,404,376,0.544924154026,0.543502824859,0.561260210035,0.55223880597
23,train,1636,1730,1235,1329,0.567622259696,0.569836293974,0.551770657673,0.560657984921
23,test,473,486,371,384,0.55950991832,0.560426540284,0.551925320887,0.556143445032
24,train,1666,1839,1126,1299,0.591062394604,0.59670487106,0.561888701518,0.57877366684
24,test,473,534,323,384,0.587514585764,0.594221105528,0.551925320887,0.572292800968
25,train,1550,1975,990,1415,0.594435075885,0.610236220472,0.522765598651,0.563124432334
25,test,460,565,292,397,0.598016336056,0.61170212766,0.536756126021,0.571783716594
26,train,1563,1989,976,1402,0.598988195616,0.615596691611,0.527150084317,0.567950581395
26,test,447,547,310,410,0.579929988331,0.590488771466,0.521586931155,0.553903345725
27,train,1596,1923,1042,1369,0.593423271501,0.605003790751,0.538279932546,0.569694806354
27,test,470,541,316,387,0.589848308051,0.59796437659,0.548424737456,0.572124163116
28,train,1667,1899,1066,1298,0.601349072513,0.609952433224,0.562225969646,0.585117585118
28,test,487,529,328,370,0.59276546091,0.59754601227,0.568261376896,0.582535885167
29,train,1620,1870,1095,1345,0.588532883642,0.596685082873,0.546374367622,0.570422535211
29,test,487,558,299,370,0.609684947491,0.619592875318,0.568261376896,0.592818015825
30,train,1617,1847,1118,1348,0.584148397976,0.591224862888,0.545362563238,0.567368421053
30,test,497,542,315,360,0.606184364061,0.612068965517,0.579929988331,0.59556620731
31,train,1703,1859,1106,1262,0.600674536256,0.606265574938,0.57436762226,0.589885694493
31,test,511,533,324,346,0.609101516919,0.611976047904,0.596266044341,0.60401891253
32,train,1648,1970,995,1317,0.610118043845,0.623533863034,0.555817875211,0.587731811698
32,test,499,564,293,358,0.620186697783,0.630050505051,0.582263710618,0.605215281989
33,train,1639,1999,966,1326,0.613490725126,0.629174664107,0.552782462057,0.588509874327
33,test,494,568,289,363,0.619603267211,0.630906768838,0.576429404901,0.60243902439
34,train,1682,2024,941,1283,0.624957841484,0.641250476554,0.567284991568,0.602004294918
34,test,503,593,264,354,0.639439906651,0.655801825293,0.586931155193,0.619458128079
35,train,1672,2051,914,1293,0.627824620573,0.646558391338,0.563912310287,0.602413979463
