iteration, data, tp, tn, fp, fn, accuracy, precision, recall, F-1 measure
0,train,1483,1429,1536,1482,0.491062394604,0.491222259026,0.500168634064,0.495655080214
0,test,452,407,450,405,0.501166861144,0.50110864745,0.527421236873,0.513928368391
1,train,1637,1310,1655,1328,0.496964586847,0.497266099635,0.552107925801,0.52325395557
1,test,433,391,466,424,0.480746791132,0.481646273637,0.505250875146,0.493166287016
2,train,1402,1516,1449,1563,0.492074198988,0.491757278148,0.472849915683,0.48211829436
2,test,389,425,432,468,0.474912485414,0.473812423873,0.453908984831,0.463647199046
3,train,1455,1467,1498,1510,0.492748735245,0.49271926854,0.490725126476,0.491720175735
3,test,419,425,432,438,0.492415402567,0.492361927145,0.488914819137,0.490632318501
4,train,1723,1292,1673,1242,0.508431703204,0.507361601885,0.581112984823,0.541738720327
4,test,492,378,479,365,0.507584597433,0.506694129763,0.574095682614,0.53829321663
5,train,1609,1413,1552,1356,0.509612141653,0.509016134135,0.542664418212,0.525301991512
5,test,450,434,423,407,0.515752625438,0.515463917526,0.525087514586,0.520231213873
6,train,1724,1292,1673,1241,0.508600337268,0.507506623491,0.581450252951,0.541967934612
6,test,514,381,476,343,0.522170361727,0.519191919192,0.599766627771,0.556578234976
7,train,1811,1226,1739,1154,0.512141652614,0.51014084507,0.610792580101,0.55594781274
7,test,530,368,489,327,0.523920653442,0.520117762512,0.618436406068,0.565031982942
8,train,1820,1259,1706,1145,0.519224283305,0.516165626773,0.613827993255,0.560776459713
8,test,530,355,502,327,0.516336056009,0.513565891473,0.618436406068,0.561143462149
9,train,1738,1396,1569,1227,0.52849915683,0.525551859692,0.586172006745,0.554209183673
9,test,510,387,470,347,0.52333722287,0.520408163265,0.595099183197,0.555253130103
10,train,1751,1319,1646,1214,0.517706576728,0.51545481307,0.590556492411,0.5504558315
10,test,502,414,443,355,0.534422403734,0.531216931217,0.585764294049,0.557158712542
11,train,1526,1556,1409,1439,0.519730185497,0.519931856899,0.514671163575,0.517288135593
11,test,442,458,399,415,0.525087514586,0.525564803805,0.515752625438,0.520612485277
12,train,1634,1448,1517,1331,0.519730185497,0.518565534751,0.551096121417,0.53433616743
12,test,478,438,419,379,0.534422403734,0.532887402453,0.557759626604,0.54503990878
13,train,1565,1571,1394,1400,0.528836424958,0.528894896925,0.527824620573,0.528359216745
13,test,468,447,410,389,0.533838973162,0.533029612756,0.546091015169,0.539481268012
14,train,1673,1548,1417,1292,0.543170320405,0.54142394822,0.564249578415,0.552601156069
14,test,459,430,427,398,0.518669778296,0.518058690745,0.535589264877,0.526678141136
15,train,1677,1554,1411,1288,0.544856661046,0.543069948187,0.565598650927,0.55410540228
15,test,464,462,395,393,0.540256709452,0.54016298021,0.541423570595,0.540792540793
16,train,1647,1594,1371,1318,0.546543001686,0.545725646123,0.555480607083,0.550559919773
16,test,501,495,362,356,0.581096849475,0.580533024334,0.584597432905,0.582558139535
17,train,1727,1622,1343,1238,0.564755480607,0.562540716612,0.582462057336,0.572328086164
17,test,498,465,392,359,0.561843640607,0.559550561798,0.581096849475,0.570120206068
18,train,1713,1640,1325,1252,0.565430016863,0.563857801185,0.577740303541,0.570714642679
18,test,508,493,364,349,0.584014002334,0.582568807339,0.59276546091,0.587622903412
19,train,1797,1607,1358,1168,0.574030354132,0.569572107765,0.606070826307,0.587254901961
19,test,526,484,373,331,0.58926487748,0.585094549499,0.613768961494,0.599088838269
20,train,1914,1609,1356,1051,0.594097807757,0.585321100917,0.645531197302,0.613953488372
20,test,551,472,385,306,0.596849474912,0.588675213675,0.642940490082,0.614612381484
21,train,1899,1562,1403,1066,0.583642495784,0.575105996366,0.640472175379,0.606031594064
21,test,587,435,422,270,0.596266044341,0.581764122894,0.684947491249,0.629153269025
22,train,1873,1587,1378,1092,0.58347386172,0.576130421409,0.631703204047,0.602638352638
22,test,543,478,379,314,0.595682613769,0.588937093275,0.633605600933,0.610455311973
23,train,1960,1547,1418,1005,0.591399662732,0.580224985198,0.661045531197,0.618004099007
23,test,562,460,397,295,0.596266044341,0.586027111575,0.65577596266,0.618942731278
24,train,1965,1605,1360,1000,0.602023608769,0.590977443609,0.662731871838,0.62480127186
24,test,594,460,397,263,0.614935822637,0.599394550959,0.693115519253,0.642857142857
25,train,1918,1598,1367,1047,0.592917369309,0.583866057839,0.646880269815,0.61376
25,test,564,465,392,293,0.600350058343,0.589958158996,0.658109684947,0.622173193602
26,train,2032,1497,1468,933,0.595109612142,0.580571428571,0.685328836425,0.628615622583
26,test,580,449,408,277,0.600350058343,0.587044534413,0.676779463244,0.628726287263
27,train,2014,1547,1418,951,0.600505902192,0.58682983683,0.679258010118,0.629670157887
27,test,582,468,389,275,0.61260210035,0.59938208033,0.679113185531,0.636761487965
28,train,2088,1566,1399,877,0.616188870152,0.59879552624,0.704215851602,0.64724116553
28,test,617,458,399,240,0.627187864644,0.607283464567,0.719953325554,0.658836091831
