iteration, data, tp, tn, fp, fn, accuracy, precision, recall, F-1 measure
0,train,1790,1264,1701,1175,0.588701517707,0.512747063879,0.60370994941,0.554522924411
0,test,508,376,481,349,0.577012835473,0.513650151668,0.59276546091,0.550379198267
1,train,1114,1888,1077,1851,0.369477234401,0.508443633044,0.375716694772,0.432117920869
1,test,301,567,290,556,0.344807467911,0.509306260575,0.351225204201,0.415745856354
2,train,1428,1607,1358,1537,0.46981450253,0.51256281407,0.481618887015,0.496609285342
2,test,412,461,396,445,0.471411901984,0.509900990099,0.480746791132,0.494894894895
3,train,1399,1623,1342,1566,0.462225969646,0.510397665086,0.471838111298,0.490361023484
3,test,377,472,385,480,0.444574095683,0.494750656168,0.439906651109,0.465719579988
4,train,1973,1032,1933,992,0.6586846543,0.505120327701,0.665430016863,0.57429777325
4,test,598,289,568,259,0.680280046674,0.512864493997,0.697782963827,0.591201186357
5,train,2140,854,2111,825,0.716863406408,0.503410962127,0.721753794266,0.593126385809
5,test,632,261,596,225,0.716452742124,0.514657980456,0.737456242707,0.60623501199
6,train,2074,1075,1890,891,0.668465430017,0.523208879919,0.699494097808,0.598643382884
6,test,598,285,572,259,0.682613768961,0.511111111111,0.697782963827,0.590034533794
7,train,1929,1163,1802,1036,0.629173693086,0.5170195658,0.650590219224,0.576164874552
7,test,545,334,523,312,0.623103850642,0.510299625468,0.635939323221,0.566233766234
8,train,2068,983,1982,897,0.682967959528,0.510617283951,0.697470489039,0.589593727726
8,test,596,283,574,261,0.682613768961,0.509401709402,0.69544924154,0.588061174149
9,train,1939,1152,1813,1026,0.632715008432,0.516791044776,0.653962900506,0.577341074885
9,test,561,338,519,296,0.630105017503,0.519444444444,0.654609101517,0.579246257099
10,train,1949,1115,1850,1016,0.640640809444,0.51302974467,0.657335581788,0.576286221171
10,test,533,338,519,324,0.613768961494,0.506653992395,0.621936989498,0.558407543216
11,train,1807,1255,1710,1158,0.593086003373,0.51379016207,0.609443507589,0.557543967911
11,test,522,380,477,335,0.58284714119,0.522522522523,0.609101516919,0.5625
12,train,1502,1550,1415,1463,0.491905564924,0.514912581419,0.506576728499,0.510710642639
12,test,424,427,430,433,0.498249708285,0.496487119438,0.494749124854,0.49561659848
