attScalar, iteration, data, tp, tn, fp, fn, accuracy, precision, recall, F-1 measure
1.0,0,train,90,2886,79,2875,0.0284991568297,0.532544378698,0.0303541315346,0.0574345883854
1.0,0,test,37,830,27,820,0.0373395565928,0.578125,0.0431738623104,0.0803474484256
1.0,1,train,99,2886,79,2866,0.0300168634064,0.556179775281,0.033389544688,0.0629971364938
1.0,1,test,38,833,24,819,0.0361726954492,0.612903225806,0.0443407234539,0.0826985854189
1.0,2,train,118,2878,87,2847,0.0345699831366,0.575609756098,0.0397976391231,0.0744479495268
1.0,2,test,38,834,23,819,0.0355892648775,0.622950819672,0.0443407234539,0.082788671024
1.0,3,train,131,2858,107,2834,0.0401349072513,0.550420168067,0.0441821247892,0.0817983140805
1.0,3,test,38,819,38,819,0.0443407234539,0.5,0.0443407234539,0.0814576634512
1.0,4,train,137,2863,102,2828,0.0403035413153,0.573221757322,0.0462057335582,0.085518102372
1.0,4,test,40,818,39,817,0.0460910151692,0.506329113924,0.046674445741,0.0854700854701
1.0,5,train,108,2890,75,2857,0.0308600337268,0.590163934426,0.0364249578415,0.0686149936468
1.0,5,test,32,825,32,825,0.0373395565928,0.5,0.0373395565928,0.0694896851249
1.0,6,train,94,2897,68,2871,0.0273187183811,0.58024691358,0.0317032040472,0.0601215222258
1.0,6,test,28,825,32,829,0.0350058343057,0.466666666667,0.0326721120187,0.0610687022901
1.0,7,train,103,2894,71,2862,0.0293423271501,0.591954022989,0.0347386172007,0.06562599554
1.0,7,test,29,827,30,828,0.034422403734,0.491525423729,0.0338389731622,0.0633187772926
1.0,8,train,107,2902,63,2858,0.0286677908938,0.629411764706,0.0360876897133,0.0682615629984
1.0,8,test,30,829,28,827,0.0338389731622,0.51724137931,0.0350058343057,0.0655737704918
1.0,9,train,121,2890,75,2844,0.0330522765599,0.617346938776,0.0408094435076,0.0765580512496
1.0,9,test,34,825,32,823,0.0385064177363,0.515151515152,0.0396732788798,0.0736728060672
1.0,10,train,132,2876,89,2833,0.0372681281619,0.597285067873,0.0445193929174,0.0828625235405
1.0,10,test,41,819,38,816,0.0460910151692,0.518987341772,0.0478413068845,0.0876068376068
1.0,11,train,243,2785,180,2722,0.0713322091062,0.574468085106,0.0819561551433,0.143447461629
1.0,11,test,67,796,61,790,0.0746791131855,0.5234375,0.0781796966161,0.136040609137
1.0,12,train,286,2748,217,2679,0.0848229342327,0.568588469185,0.0964586846543,0.16493656286
1.0,12,test,70,798,59,787,0.0752625437573,0.542635658915,0.0816802800467,0.141987829615
1.0,13,train,351,2721,244,2614,0.100337268128,0.589915966387,0.118381112985,0.197191011236
1.0,13,test,101,788,69,756,0.0991831971995,0.594117647059,0.117852975496,0.196689386563
1.0,14,train,388,2715,250,2577,0.107588532884,0.608150470219,0.130860033727,0.215376075493
1.0,14,test,103,783,74,754,0.103267211202,0.581920903955,0.120186697783,0.199226305609
1.0,15,train,368,2722,243,2597,0.103035413153,0.602291325696,0.124114671164,0.20581655481
1.0,15,test,94,788,69,763,0.0950991831972,0.576687116564,0.109684947491,0.18431372549
1.0,16,train,357,2760,205,2608,0.0947723440135,0.635231316726,0.120404721754,0.202438332861
1.0,16,test,85,791,66,772,0.0880980163361,0.562913907285,0.0991831971995,0.168650793651
1.0,17,train,417,2712,253,2548,0.112984822934,0.622388059701,0.140640809444,0.229436038514
1.0,17,test,99,778,79,758,0.103850641774,0.556179775281,0.115519253209,0.191304347826
1.0,18,train,468,2688,277,2497,0.12563237774,0.628187919463,0.15784148398,0.252291105121
1.0,18,test,118,767,90,739,0.121353558926,0.567307692308,0.137689614936,0.221596244131
