attScalar, iteration, data, tp, tn, fp, fn, accuracy, precision, recall, F-1 measure
1.0,0,train,1029,2414,551,1936,0.266441821248,0.651265822785,0.347048903879,0.452805280528
1.0,0,test,296,680,177,561,0.275962660443,0.625792811839,0.345390898483,0.445112781955
1.0,1,train,1785,1888,1077,1180,0.4826306914,0.623689727463,0.602023608769,0.612665179338
1.0,1,test,560,549,308,297,0.506417736289,0.645161290323,0.653442240373,0.649275362319
1.0,2,train,1816,2092,873,1149,0.453456998314,0.67534399405,0.612478920742,0.642377078175
1.0,2,test,532,594,263,325,0.463827304551,0.669182389937,0.620770128355,0.64406779661
1.0,3,train,1913,2299,666,1052,0.434907251265,0.741760372237,0.645193929174,0.690115440115
1.0,3,test,559,635,222,298,0.455659276546,0.715749039693,0.65227537923,0.68253968254
1.0,4,train,2034,2275,690,931,0.459359190556,0.746696035242,0.686003372681,0.715064158903
1.0,4,test,592,623,234,265,0.481913652275,0.716707021792,0.690781796966,0.703505644682
1.0,5,train,2005,2344,621,960,0.442833052277,0.763518659558,0.676222596965,0.717224110177
1.0,5,test,567,638,219,290,0.458576429405,0.721374045802,0.661610268378,0.6902008521
1.0,6,train,1941,2395,570,1024,0.423440134907,0.772998805257,0.654637436762,0.708911614317
1.0,6,test,550,662,195,307,0.434655775963,0.738255033557,0.641773628938,0.686641697878
1.0,7,train,1866,2452,513,1099,0.401180438449,0.784363177806,0.62934232715,0.698353293413
1.0,7,test,530,689,168,327,0.40723453909,0.759312320917,0.618436406068,0.681672025723
1.0,8,train,1972,2399,566,993,0.427993254637,0.776989755713,0.665092748735,0.716699981828
1.0,8,test,553,665,192,304,0.434655775963,0.742281879195,0.645274212369,0.69038701623
1.0,9,train,1826,2501,464,1139,0.386172006745,0.797379912664,0.615851602024,0.694957183635
1.0,9,test,505,695,162,352,0.389148191365,0.75712143928,0.58926487748,0.662729658793
1.0,10,train,1759,2556,409,1206,0.365598650927,0.811346863469,0.593254637437,0.685369179817
1.0,10,test,476,706,151,381,0.365810968495,0.759170653907,0.555425904317,0.641509433962
1.0,11,train,2040,2397,568,925,0.439797639123,0.782208588957,0.68802698145,0.732101202225
1.0,11,test,550,652,205,307,0.44049008168,0.728476821192,0.641773628938,0.682382133995
1.0,12,train,2037,2411,554,928,0.436930860034,0.786182940949,0.687015177066,0.733261339093
1.0,12,test,551,649,208,306,0.442823803967,0.725955204216,0.642940490082,0.681930693069
1.0,13,train,1929,2513,452,1036,0.401517706577,0.810163796724,0.650590219224,0.721661054994
1.0,13,test,510,680,177,347,0.4008168028,0.742358078603,0.595099183197,0.660621761658
1.0,14,train,1972,2514,451,993,0.408600337268,0.813867106892,0.665092748735,0.731997030438
1.0,14,test,525,677,180,332,0.411318553092,0.744680851064,0.61260210035,0.672215108835
1.0,15,train,1955,2513,452,1010,0.405902192243,0.81221437474,0.659359190556,0.727848101266
1.0,15,test,516,670,187,341,0.410151691949,0.73399715505,0.602100350058,0.661538461538
1.0,16,train,1811,2439,526,1154,0.394097807757,0.774925117672,0.610792580101,0.683138438325
1.0,16,test,495,681,176,362,0.391481913652,0.737704918033,0.577596266044,0.647905759162
1.0,17,train,2088,2445,520,877,0.439797639123,0.800613496933,0.704215851602,0.749327112866
1.0,17,test,553,651,206,304,0.442823803967,0.728590250329,0.645274212369,0.684405940594
1.0,18,train,2141,2414,551,824,0.453962900506,0.795319465082,0.722091062395,0.756938306523
1.0,18,test,565,632,225,292,0.460910151692,0.715189873418,0.659276546091,0.686095931998
1.0,19,train,2096,2466,499,869,0.43760539629,0.807707129094,0.706913996627,0.753956834532
1.0,19,test,541,660,197,316,0.43057176196,0.733062330623,0.631271878646,0.678369905956
1.0,20,train,1746,2391,574,1219,0.391231028668,0.752586206897,0.588870151771,0.660737937559
1.0,20,test,466,666,191,391,0.383313885648,0.709284627093,0.543757292882,0.615587846764
1.0,21,train,1921,2350,615,1044,0.427655986509,0.757492113565,0.647892074199,0.698418469369
1.0,21,test,499,638,219,358,0.418903150525,0.694986072423,0.582263710618,0.633650793651
1.0,22,train,2144,2451,514,821,0.448229342327,0.80662151994,0.723102866779,0.762582251467
1.0,22,test,555,640,217,302,0.4504084014,0.718911917098,0.647607934656,0.681399631676
1.0,23,train,2077,2521,444,888,0.425126475548,0.823879412931,0.700505902192,0.757200145826
1.0,23,test,533,666,191,324,0.422403733956,0.736187845304,0.621936989498,0.674256799494
1.0,24,train,2089,2497,468,876,0.431197301855,0.816973015252,0.70455311973,0.756609923941
1.0,24,test,541,648,209,316,0.437572928821,0.721333333333,0.631271878646,0.673304293715
1.0,25,train,2048,2554,411,917,0.414671163575,0.832858885726,0.690725126476,0.755162241888
1.0,25,test,525,671,186,332,0.414819136523,0.738396624473,0.61260210035,0.669642857143
1.0,26,train,1931,2606,359,1034,0.386172006745,0.843231441048,0.651264755481,0.734919124643
1.0,26,test,479,701,156,378,0.370478413069,0.754330708661,0.558926487748,0.642091152815
1.0,27,train,2064,2543,422,901,0.419224283305,0.830249396621,0.696121416526,0.757292239956
1.0,27,test,513,673,184,344,0.406651108518,0.736011477762,0.598599766628,0.660231660232
1.0,28,train,1981,2580,385,984,0.398988195616,0.837278106509,0.668128161889,0.743200150066
1.0,28,test,499,678,179,358,0.395565927655,0.73598820059,0.582263710618,0.65016286645
1.0,29,train,1933,2650,315,1032,0.379089376054,0.85987544484,0.651939291737,0.741607519662
1.0,29,test,477,704,153,380,0.36756126021,0.757142857143,0.556592765461,0.641560188299
1.0,30,train,2065,2574,391,900,0.414165261383,0.840798045603,0.696458684654,0.761852056816
1.0,30,test,515,687,170,342,0.399649941657,0.751824817518,0.600933488915,0.667963683528
1.0,31,train,2110,2559,406,855,0.424283305228,0.838632750397,0.711635750422,0.76993249407
1.0,31,test,521,676,181,336,0.409568261377,0.742165242165,0.607934655776,0.668377164849
1.0,32,train,1918,2665,300,1047,0.374030354132,0.864743011722,0.646880269815,0.740111904303
1.0,32,test,471,705,152,386,0.363477246208,0.756019261637,0.5495915986,0.636486486486
1.0,33,train,1526,2251,714,1439,0.377740303541,0.68125,0.514671163575,0.586359269933
1.0,33,test,402,626,231,455,0.369311551925,0.635071090047,0.469078179697,0.539597315436
1.0,34,train,2012,2624,341,953,0.396795952782,0.855078623034,0.678583473862,0.756675441895
1.0,34,test,492,684,173,365,0.387981330222,0.73984962406,0.574095682614,0.646517739816
1.0,35,train,1945,2665,300,1020,0.378583473862,0.866369710468,0.655986509275,0.746641074856
1.0,35,test,471,703,154,386,0.364644107351,0.7536,0.5495915986,0.635627530364
1.0,36,train,2022,2648,317,943,0.394435075885,0.86447199658,0.681956155143,0.762443438914
1.0,36,test,485,691,166,372,0.379813302217,0.745007680492,0.565927654609,0.643236074271
1.0,37,train,2257,2528,437,708,0.454300168634,0.837787676318,0.761214165261,0.797667432409
1.0,37,test,555,634,223,302,0.453908984831,0.713367609254,0.647607934656,0.678899082569
1.0,38,train,1775,2685,280,1190,0.346543001686,0.863746958637,0.598650927487,0.707171314741
1.0,38,test,450,699,158,407,0.354725787631,0.740131578947,0.525087514586,0.61433447099
1.0,39,train,1976,2685,280,989,0.380438448567,0.875886524823,0.666441821248,0.756943114346
1.0,39,test,476,697,160,381,0.371061843641,0.748427672956,0.555425904317,0.637642330877
0.9,0,train,350,2805,160,2615,0.0860033726813,0.686274509804,0.118043844857,0.201438848921
0.9,0,test,89,810,47,768,0.0793465577596,0.654411764706,0.103850641774,0.179254783484
0.9,1,train,1800,1822,1143,1165,0.49629005059,0.611620795107,0.607082630691,0.609343263372
0.9,1,test,562,528,329,295,0.51983663944,0.630751964085,0.65577596266,0.643020594966
0.9,2,train,1890,1916,1049,1075,0.495615514334,0.643075876148,0.637436762226,0.640243902439
0.9,2,test,566,558,299,291,0.504667444574,0.654335260116,0.660443407235,0.65737514518
0.9,3,train,1717,2389,576,1248,0.386677908938,0.748800697776,0.579089376054,0.653100038037
0.9,3,test,492,663,194,365,0.400233372229,0.717201166181,0.574095682614,0.637718729747
0.9,4,train,1917,2342,623,1048,0.428330522766,0.754724409449,0.646543001686,0.696457765668
0.9,4,test,553,653,204,304,0.441656942824,0.730515191546,0.645274212369,0.685254027261
0.9,5,train,2218,2137,828,747,0.513659359191,0.728168089297,0.748060708263,0.737980369323
