attScalar, iteration, data, tp, tn, fp, fn, accuracy, precision, recall, F-1 measure
1.0,0,train,2062,937,2028,903,0.689713322091,0.504156479218,0.69544688027,0.584549964564
1.0,0,test,607,256,601,250,0.704784130688,0.502483443709,0.708284714119,0.58789346247
1.0,1,train,2841,109,2856,124,0.960708263069,0.498683517641,0.958178752108,0.655968598476
1.0,1,test,824,35,822,33,0.96032672112,0.500607533414,0.961493582264,0.65840990811
1.0,2,train,2870,88,2877,95,0.969139966273,0.499390986602,0.967959527825,0.65886134068
1.0,2,test,829,30,827,28,0.966161026838,0.500603864734,0.967327887981,0.659769200159
1.0,3,train,2895,59,2906,70,0.978246205734,0.499051887606,0.976391231029,0.660506502396
1.0,3,test,836,28,829,21,0.971411901984,0.502102102102,0.975495915986,0.662965900079
1.0,4,train,2924,19,2946,41,0.989881956155,0.498126064736,0.986172006745,0.661912846633
1.0,4,test,850,20,837,7,0.984247374562,0.50385299348,0.991831971995,0.668238993711
1.0,5,train,2937,18,2947,28,0.992242833052,0.499150237933,0.990556492411,0.663803819641
1.0,5,test,850,13,844,7,0.988331388565,0.501770956316,0.991831971995,0.666405331243
1.0,6,train,2929,29,2936,36,0.989038785835,0.499403239557,0.987858347386,0.66342015855
1.0,6,test,843,13,844,14,0.984247374562,0.499703615886,0.983663943991,0.662735849057
1.0,7,train,2949,12,2953,16,0.995278246206,0.49966113182,0.994603709949,0.665162963798
1.0,7,test,848,6,851,9,0.991248541424,0.499117127722,0.989498249708,0.663536776213
1.0,8,train,2948,11,2954,17,0.995278246206,0.49949169773,0.994266441821,0.664937408368
1.0,8,test,851,6,851,6,0.992998833139,0.5,0.992998833139,0.665103556077
1.0,9,train,2953,9,2956,12,0.996458684654,0.499746149941,0.995952782462,0.66553977913
1.0,9,test,850,4,853,7,0.993582263711,0.499119201409,0.991831971995,0.6640625
1.0,10,train,2951,7,2958,14,0.996458684654,0.499407683195,0.995278246206,0.665089024115
1.0,10,test,850,3,854,7,0.994165694282,0.49882629108,0.991831971995,0.663803201874
1.0,11,train,2953,8,2957,12,0.996627318718,0.499661590525,0.995952782462,0.665464788732
1.0,11,test,851,3,854,6,0.994749124854,0.499120234604,0.992998833139,0.664324746292
1.0,12,train,2955,14,2951,10,0.995952782462,0.500338638673,0.996627318718,0.666215759215
1.0,12,test,848,7,850,9,0.990665110852,0.499411071849,0.989498249708,0.663796477495
1.0,13,train,2959,6,2959,6,0.997976391231,0.5,0.997976391231,0.666216368344
1.0,13,test,849,4,853,8,0.992998833139,0.498824911868,0.990665110852,0.663540445487
1.0,14,train,2959,7,2958,6,0.997807757167,0.500084502282,0.997976391231,0.666291375816
1.0,14,test,849,4,853,8,0.992998833139,0.498824911868,0.990665110852,0.663540445487
1.0,15,train,2959,7,2958,6,0.997807757167,0.500084502282,0.997976391231,0.666291375816
1.0,15,test,850,3,854,7,0.994165694282,0.49882629108,0.991831971995,0.663803201874
1.0,16,train,2958,7,2958,7,0.997639123103,0.5,0.997639123103,0.666141200315
1.0,16,test,850,4,853,7,0.993582263711,0.499119201409,0.991831971995,0.6640625
1.0,17,train,2957,6,2959,8,0.997639123103,0.49983096687,0.997301854975,0.66591600045
1.0,17,test,851,3,854,6,0.994749124854,0.499120234604,0.992998833139,0.664324746292
1.0,18,train,2958,6,2959,7,0.997807757167,0.499915497718,0.997639123103,0.666066201306
1.0,18,test,850,3,854,7,0.994165694282,0.49882629108,0.991831971995,0.663803201874
1.0,19,train,2958,6,2959,7,0.997807757167,0.499915497718,0.997639123103,0.666066201306
1.0,19,test,850,3,854,7,0.994165694282,0.49882629108,0.991831971995,0.663803201874
1.0,20,train,2958,5,2960,7,0.997976391231,0.499831023995,0.997639123103,0.665991219183
1.0,20,test,850,4,853,7,0.993582263711,0.499119201409,0.991831971995,0.6640625
1.0,21,train,2957,5,2960,8,0.997807757167,0.499746493155,0.997301854975,0.665841026796
1.0,21,test,850,4,853,7,0.993582263711,0.499119201409,0.991831971995,0.6640625
1.0,22,train,2957,5,2960,8,0.997807757167,0.499746493155,0.997301854975,0.665841026796
1.0,22,test,850,4,853,7,0.993582263711,0.499119201409,0.991831971995,0.6640625
1.0,23,train,2957,6,2959,8,0.997639123103,0.49983096687,0.997301854975,0.66591600045
1.0,23,test,850,4,853,7,0.993582263711,0.499119201409,0.991831971995,0.6640625
1.0,24,train,2957,6,2959,8,0.997639123103,0.49983096687,0.997301854975,0.66591600045
1.0,24,test,850,3,854,7,0.994165694282,0.49882629108,0.991831971995,0.663803201874
1.0,25,train,2957,6,2959,8,0.997639123103,0.49983096687,0.997301854975,0.66591600045
1.0,25,test,850,3,854,7,0.994165694282,0.49882629108,0.991831971995,0.663803201874
1.0,26,train,2958,6,2959,7,0.997807757167,0.499915497718,0.997639123103,0.666066201306
1.0,26,test,850,3,854,7,0.994165694282,0.49882629108,0.991831971995,0.663803201874
1.0,27,train,2958,6,2959,7,0.997807757167,0.499915497718,0.997639123103,0.666066201306
1.0,27,test,850,3,854,7,0.994165694282,0.49882629108,0.991831971995,0.663803201874
1.0,28,train,2957,6,2959,8,0.997639123103,0.49983096687,0.997301854975,0.66591600045
1.0,28,test,850,3,854,7,0.994165694282,0.49882629108,0.991831971995,0.663803201874
1.0,29,train,2957,6,2959,8,0.997639123103,0.49983096687,0.997301854975,0.66591600045
1.0,29,test,850,3,854,7,0.994165694282,0.49882629108,0.991831971995,0.663803201874
1.0,30,train,2956,5,2960,9,0.997639123103,0.499661933739,0.996964586847,0.665690800586
1.0,30,test,850,3,854,7,0.994165694282,0.49882629108,0.991831971995,0.663803201874
1.0,31,train,2956,5,2960,9,0.997639123103,0.499661933739,0.996964586847,0.665690800586
1.0,31,test,850,3,854,7,0.994165694282,0.49882629108,0.991831971995,0.663803201874
1.0,32,train,2956,5,2960,9,0.997639123103,0.499661933739,0.996964586847,0.665690800586
1.0,32,test,850,3,854,7,0.994165694282,0.49882629108,0.991831971995,0.663803201874
1.0,33,train,2956,5,2960,9,0.997639123103,0.499661933739,0.996964586847,0.665690800586
1.0,33,test,850,3,854,7,0.994165694282,0.49882629108,0.991831971995,0.663803201874
1.0,34,train,2957,5,2960,8,0.997807757167,0.499746493155,0.997301854975,0.665841026796
1.0,34,test,850,3,854,7,0.994165694282,0.49882629108,0.991831971995,0.663803201874
1.0,35,train,2956,5,2960,9,0.997639123103,0.499661933739,0.996964586847,0.665690800586
1.0,35,test,850,3,854,7,0.994165694282,0.49882629108,0.991831971995,0.663803201874
